Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Tue |Tue |    306|02-03-2021|   -1|   0*|      6|No  |O   18|   N/A   |--- Next -- Event:- World Book Day ---- @ Tue-02-Mar-2021
Mon |Mon |    312|08-03-2021|   -1|   0*|      6|No  |LQ  24|   N/A   |--- Next -- Event:- International Women's Day ---- @ Mon-08-Mar-2021
Tue |Tue |    313|09-03-2021|   -1|   0*|      6|No  |LQ  25|   N/A   |--- Next -- Event:- International Womens Day ---- @ Tue-09-Mar-2021
Wed |Wed |    314|10-03-2021|   -1|   0*|      6|No  |LQ  26|   N/A   |--- Next -- Event:- United Kingdom Commonwealth Day ---- @ Wed-10-Mar-2021
Thu |Thu |    322|18-03-2021|   -1|   0*|      6|No  |.    4|   N/A   |--- Next -- Event:- St. Edward the martyr Feast day ---- @ Thu-18-Mar-2021
Fri |Fri |    323|19-03-2021|   -1|   0*|      6|No  |.    5|   N/A   |--- Next -- Event:- St Joseph ---- @ Fri-19-Mar-2021
Sat |Sat |    324|20-03-2021|   -1|   0*|      6|No  |.    6|   N/A   |--- Next -- Event:- Spring Begins Diary Book ---- @ Sat-20-Mar-2021
Sat |Sat |    324|20-03-2021|   -1|   0*|      6|No  |.    6|   N/A   |--- Next -- Vernal Equinox ---- @ Sat-20-Mar-2021
Sun |Sun |    325|21-03-2021|   -1|   0*|      6|No  |FQ*  8|   N/A   |--- Next -- Event:- 1st Sign Aries Mar21 Apr19 Fire Sign Ruled by Mars: The Ram ---- @ Sun-21-Mar-2021
Mon |Mon |    326|22-03-2021|   -1|   0*|      6|No  |FQ   8|   N/A   |--- Next -- Event:- World Water Day ---- @ Mon-22-Mar-2021
Thu |Thu |    329|25-03-2021|   -1|   0*|      6|No  |FQ  11|   N/A   |--- Next -- Event:- Annuciation ---- @ Thu-25-Mar-2021
Fri |Fri |    330|26-03-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- Independence Day of Bangladesh ---- @ Fri-26-Mar-2021
Sat |Sat |    331|27-03-2021|   -1|   0*|      6|No  |FQ  13|   N/A   |--- Next -- Event:- World Theatre Day ---- @ Sat-27-Mar-2021
Sun |Sun |    332|28-03-2021|   -1|   0*|      6|No  |O * 15|   N/A   |--- Next -- British Summer Time Begins - BST ---- @ Sun-28-Mar-2021
Tue |Tue |    334|30-03-2021|   -1|   0*|      6|No  |O   16|   N/A   |--- Next -- Event:- Clocks Go Forward 1 Hours BST - We Get a Hour Rest ---- @ Tue-30-Mar-2021
Thu |Thu |    336|01-04-2021|   -1|   0*|      6|No  |O   18|   N/A   |--- Next -- -- 2nd Quarter Of Year -- ---- @ Thu-01-Apr-2021
Thu |Thu |    336|01-04-2021|   -1|   0*|      6|No  |O   18|   N/A   |--- Next -- Event:- April Fool's Day ---- @ Thu-01-Apr-2021
Fri |Fri |    337|02-04-2021|   -1|   0*|      6|No  |O   19|   N/A   |--- Next -- Event:- International Children's Book Day ---- @ Fri-02-Apr-2021
Wed |Wed |    342|07-04-2021|   -1|   0*|      6|No  |LQ  24|   N/A   |--- Next -- Event:- World Health Day ---- @ Wed-07-Apr-2021
Wed |Wed |    349|14-04-2021|   -1|   0*|      6|No  |.    1|   N/A   |--- Next -- Event:- Anniversary of Titanic sinking ---- @ Wed-14-Apr-2021
Sun |Sun |    353|18-04-2021|   -1|   0*|      6|No  |.    5|   N/A   |--- Next -- Event:- Record Store Day - UK ---- @ Sun-18-Apr-2021
Mon |Mon |    354|19-04-2021|   -1|   0*|      6|No  |.    6|   N/A   |--- Next -- Event:- Patriot's Day ---- @ Mon-19-Apr-2021
Tue |Tue |    355|20-04-2021|   -1|   0*|      6|No  |FQ*  8|   N/A   |--- Next -- Event:- 2nd Sign Taurus Apr20 May20 Earth Sign Ruled by Venus: The bull ---- @ Tue-20-Apr-2021
Tue |Tue |    355|20-04-2021|   -1|   0*|      6|No  |FQ*  8|   N/A   |--- Next -- Event:- Jewish Passover ---- @ Tue-20-Apr-2021
Thu |Thu |    357|22-04-2021|   -1|   0*|      6|No  |FQ   9|   N/A   |--- Event:- Earth Day ---- @ Thu-22-Apr-2021
Thu |Thu |    357|22-04-2021|   -1|   0*|      6|No  |FQ   9|   N/A   |--- Next -- Event:- Earth Day ---- @ Thu-22-Apr-2021
Fri |Fri |    358|23-04-2021|   -1|   0*|      6|No  |FQ  10|   N/A   |--- Next -- Event:- St George Day - Grandad Birthday ---- @ Fri-23-Apr-2021
Sun |Sun |    360|25-04-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- International Noise Awareness Day ---- @ Sun-25-Apr-2021
Sun |Sun |    360|25-04-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- London Marathon Last Sunday In April ---- @ Sun-25-Apr-2021
Sun |Sun |    360|25-04-2021|   -1|   0*|      6|No  |FQ  12|   N/A   |--- Next -- Event:- The Feast of St. Mark ---- @ Sun-25-Apr-2021
Mon |Mon |    361|26-04-2021|   -1|   0*|      6|No  |FQ  13|   N/A   |--- Next -- Event:- John Vousden Sister's Husband ---- @ Mon-26-Apr-2021
Sat |Sat |    366|01-05-2021|   -2|   0*|      5|No  |O   18|   N/A   |--- Event:- May Day - Labour Day ---- @ Sat-01-May-2021
Sat |Sat |    366|01-05-2021|   -2|   0*|      5|No  |O   18|   N/A   |--- Event:- St Philip and St James ---- @ Sat-01-May-2021
Wed |Wed |    370|05-05-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- Cinco de Mayo - Mexico ---- @ Wed-05-May-2021
Sat |Sat |    373|08-05-2021|   -2|   0*|      5|No  |LQ  25|   N/A   |--- Event:- World Red Cross Day ---- @ Sat-08-May-2021
Sat |Sat |    373|08-05-2021|   -2|   0*|      5|No  |LQ  25|   N/A   |--- Event:- World Red Cross Day ---- @ Sat-08-May-2021
Wed |Wed |    377|12-05-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- Limerick Day - Birthday of Edward Lear ---- @ Wed-12-May-2021
Tue |Tue |    383|18-05-2021|   -2|   0*|      5|No  |.    6|   N/A   |--- Event:- International Museum Day ---- @ Tue-18-May-2021
Fri |Fri |    386|21-05-2021|   -2|   0*|      5|No  |FQ   9|   N/A   |--- Event:- 3rd Sign Gemini May21 Jun21 Air Sign Ruled by Mercury: The twins ---- @ Fri-21-May-2021
Mon |Mon |    389|24-05-2021|   -2|   0*|      5|No  |FQ  12|   N/A   |--- Event:- Victoria Day - Canada ---- @ Mon-24-May-2021
Wed |Wed |    391|26-05-2021|   -2|   0*|      5|No  |O * 14|   N/A   |--- # Lunar Eclipse -Total(Umbral) 26-05-2021 11:13:00a GMT
Mon |Mon |    396|31-05-2021|   -2|   0*|      5|No  |O   19|   N/A   |--- Event:- Birthday Paul Brown ---- @ Mon-31-May-2021
Tue |Tue |    397|01-06-2021|   -2|   0*|      5|No  |O   20|   N/A   |--- Event:- Start of Season Summer Jun to Sep -- Amature Stuff ---- @ Tue-01-Jun-2021
Tue |Tue |    397|01-06-2021|   -2|   0*|      5|No  |O   20|   N/A   |--- Event:- Wimbledon begins ---- @ Tue-01-Jun-2021
Sat |Sat |    401|05-06-2021|   -2|   0*|      5|No  |LQ  24|   N/A   |--- Event:- World Environment Day ---- @ Sat-05-Jun-2021
Sun |Sun |    402|06-06-2021|   -2|   0*|      5|No  |LQ  25|   N/A   |--- Event:- D-Day WWII ---- @ Sun-06-Jun-2021
Thu |Thu |    406|10-06-2021|   -2|   0*|      5|No  |. *  0|   N/A   |--- # Solar Eclipse -Annular 10-06-2021 10:53:00a GMT
Thu |Thu |    406|10-06-2021|   -2|   0*|      5|No  |. *  0|   N/A   |--- Event:- Birthday Sahara Ware ---- @ Thu-10-Jun-2021
Fri |Fri |    407|11-06-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- St Barnabas ---- @ Fri-11-Jun-2021
Wed |Wed |    412|16-06-2021|   -2|   0*|      5|No  |.    5|   N/A   |--- Earliest Sunrise Summer  04:45:11a
Sun |Sun |    416|20-06-2021|   -2|   0*|      5|No  |FQ   9|   N/A   |--- Event:- Father's Day ---- @ Sun-20-Jun-2021
Sun |Sun |    416|20-06-2021|   -2|   0*|      5|No  |FQ   9|   N/A   |--- Event:- United Nations World Refugee Day ---- @ Sun-20-Jun-2021
Mon |Mon |    417|21-06-2021|   -2|   0*|      5|No  |FQ  10|   N/A   |--- Longest Day ---- @ Mon-21-Jun-2021
Mon |Mon |    417|21-06-2021|   -2|   0*|      5|No  |FQ  10|   N/A   |--- Mid Summers Day (made famous by William Shakespeare) ---- @ Mon-21-Jun-2021
Mon |Mon |    417|21-06-2021|   -2|   0*|      5|No  |FQ  10|   N/A   |--- Summer Solstice ---- @ Mon-21-Jun-2021
Tue |Tue |    418|22-06-2021|   -2|   0*|      5|No  |FQ  11|   N/A   |--- Event:- 4th Sign Cancer Jun22 Jul22 Water Sign Ruled by Moon: The Crab ---- @ Tue-22-Jun-2021
Thu |Thu |    420|24-06-2021|   -2|   0*|      5|No  |O * 14|   N/A   |--- Event:- Midsummer Day, celebrated in Europe. ---- @ Thu-24-Jun-2021
Thu |Thu |    420|24-06-2021|   -2|   0*|      5|No  |O * 14|   N/A   |--- Event:- St John the Baptist ---- @ Thu-24-Jun-2021
Thu |Thu |    420|24-06-2021|   -2|   0*|      5|No  |O * 14|   N/A   |--- Latest Sunset Summer  09:16:55p
Tue |Tue |    425|29-06-2021|   -2|   0*|      5|No  |O   18|   N/A   |--- Event:- St Peter St Paul ---- @ Tue-29-Jun-2021
Thu |Thu |    427|01-07-2021|   -2|   0*|      5|No  |LQ* 21|   N/A   |--- -- 3rd Quarter Of Year -- ---- @ Thu-01-Jul-2021
Thu |Thu |    427|01-07-2021|   -2|   0*|      5|No  |LQ* 21|   N/A   |--- Event:- Canada Day ---- @ Thu-01-Jul-2021
Thu |Thu |    427|01-07-2021|   -2|   0*|      5|No  |LQ* 21|   N/A   |--- Event:- Tour de France bicycle race ---- @ Thu-01-Jul-2021
Sat |Sat |    429|03-07-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- St. Thomas' Day ---- @ Sat-03-Jul-2021
Sun |Sun |    430|04-07-2021|   -2|   0*|      5|No  |LQ  23|   N/A   |--- Event:- US Independence Day ---- @ Sun-04-Jul-2021
Sun |Sun |    437|11-07-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- World Population Day ---- @ Sun-11-Jul-2021
Wed |Wed |    440|14-07-2021|   -2|   0*|      5|No  |.    3|   N/A   |--- Event:- French Bastille Day ---- @ Wed-14-Jul-2021
Thu |Thu |    441|15-07-2021|   -2|   0*|      5|No  |.    4|   N/A   |--- Event:- St Swithin ---- @ Thu-15-Jul-2021
Thu |Thu |    448|22-07-2021|   -2|   0*|      5|No  |FQ  11|   N/A   |--- Event:- St Mary Magdalene ---- @ Thu-22-Jul-2021
Fri |Fri |    449|23-07-2021|   -2|   0*|      5|No  |FQ  12|   N/A   |--- Event:- 5th Sign Leo Jul23 Aug22 Fire Sign Ruled by Sun: The Lion ---- @ Fri-23-Jul-2021
Sun |Sun |    451|25-07-2021|   -2|   0*|      5|No  |O   14|   N/A   |--- Event:- St James ---- @ Sun-25-Jul-2021
Sun |Sun |    458|01-08-2021|   -2|   0*|      5|No  |LQ  21|   N/A   |--- Event:- World Wide Web Anniversary ---- @ Sun-01-Aug-2021
Fri |Fri |    463|06-08-2021|   -2|   0*|      5|No  |LQ  26|   N/A   |--- Event:- Transfiguration ---- @ Fri-06-Aug-2021
Thu |Thu |    469|12-08-2021|   -2|   0*|      5|No  |.    3|   N/A   |--- Event:- International Youth Day ---- @ Thu-12-Aug-2021
Fri |Fri |    470|13-08-2021|   -2|   0*|      5|No  |.    4|   N/A   |--- Event:- International Left-handers Day ---- @ Fri-13-Aug-2021
Fri |Fri |    470|13-08-2021|   -2|   0*|      5|No  |.    4|   N/A   |--- Friday The 13th ---- @ Fri-13-Aug-2021
Sat |Sat |    471|14-08-2021|   -2|   0*|      5|No  |.    5|   N/A   |--- Event:- Pakistan Independence Day ---- @ Sat-14-Aug-2021
Sun |Sun |    472|15-08-2021|   -2|   0*|      5|No  |FQ*  7|   N/A   |--- Event:- Assumption of Mary ---- @ Sun-15-Aug-2021
Sun |Sun |    472|15-08-2021|   -2|   0*|      5|No  |FQ*  7|   N/A   |--- Event:- Indian Independence Day ---- @ Sun-15-Aug-2021
Thu |Thu |    476|19-08-2021|   -2|   0*|      5|No  |FQ  10|   N/A   |--- Event:- Aviation Day ---- @ Thu-19-Aug-2021
Mon |Mon |    480|23-08-2021|   -2|   0*|      5|No  |O   14|   N/A   |--- Event:- 6th Sign Virgo Aug23 Sep22 Earth Sign Ruled by Mercury: The Virgin ---- @ Mon-23-Aug-2021
Mon |Mon |    487|30-08-2021|   -2|   0*|      5|No  |LQ* 21|   N/A   |--- Event:- Late Summer Holiday ---- @ Mon-30-Aug-2021
Tue |Tue |    488|31-08-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- BlogDay ---- @ Tue-31-Aug-2021
Tue |Tue |    488|31-08-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- Malaysia Independence Day ---- @ Tue-31-Aug-2021
Tue |Tue |    495|07-09-2021|   -2|   0*|      5|No  |. *  0|   N/A   |--- Event:- Birthday Tracy Johnson ---- @ Tue-07-Sep-2021
Tue |Tue |    495|07-09-2021|   -2|   0*|      5|No  |. *  0|   N/A   |--- Event:- Brazilian Independence Day ---- @ Tue-07-Sep-2021
Wed |Wed |    496|08-09-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- Blessed Virgin Mary ---- @ Wed-08-Sep-2021
Wed |Wed |    496|08-09-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- International Literacy Day ---- @ Wed-08-Sep-2021
Wed |Wed |    496|08-09-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- International Literacy Day ---- @ Wed-08-Sep-2021
Fri |Fri |    498|10-09-2021|   -2|   0*|      5|No  |.    2|   N/A   |--- Event:- Birthday Colleen Davies ---- @ Fri-10-Sep-2021
Wed |Wed |    503|15-09-2021|   -2|   0*|      5|No  |FQ   7|   N/A   |--- Event:- International Day of Democracy ---- @ Wed-15-Sep-2021
Sun |Sun |    507|19-09-2021|   -2|   0*|      5|No  |FQ  11|   N/A   |--- Event:- International Talk Like A Pirate Day ---- @ Sun-19-Sep-2021
Tue |Tue |    509|21-09-2021|   -2|   0*|      5|No  |FQ  13|   N/A   |--- Event:- International Day of Peace 1981 ---- @ Tue-21-Sep-2021
Tue |Tue |    509|21-09-2021|   -2|   0*|      5|No  |FQ  13|   N/A   |--- Event:- International Day of Peace 1981 ---- @ Tue-21-Sep-2021
Tue |Tue |    509|21-09-2021|   -2|   0*|      5|No  |FQ  13|   N/A   |--- Event:- St Matthew ---- @ Tue-21-Sep-2021
Tue |Tue |    509|21-09-2021|   -2|   0*|      5|No  |FQ  13|   N/A   |--- Harvest Moon - Full Moon Closest to the Autumnal Equinox ---- @ 21-09-2021 - 00:55:46
Wed |Wed |    510|22-09-2021|   -2|   0*|      5|No  |O   14|   N/A   |--- Autumnal Equinox ---- @ Wed-22-Sep-2021
Wed |Wed |    510|22-09-2021|   -2|   0*|      5|No  |O   14|   N/A   |--- Event:- Autumn Begins Diary Book ---- @ Wed-22-Sep-2021
Thu |Thu |    511|23-09-2021|   -2|   0*|      5|No  |O   15|   N/A   |--- Event:- 7th Sign Libra Sep23 Oct22 Air Sign Ruled by Venus: The Balance ---- @ Thu-23-Sep-2021
Sat |Sat |    513|25-09-2021|   -2|   0*|      5|No  |O   17|   N/A   |--- Event:- Grand Parents Day ---- @ Sat-25-Sep-2021
Sun |Sun |    514|26-09-2021|   -2|   0*|      5|No  |O   18|   N/A   |--- Event:- European Day of Languages ---- @ Sun-26-Sep-2021
Mon |Mon |    515|27-09-2021|   -2|   0*|      5|No  |O   19|   N/A   |--- Event:- International Tourism Day ---- @ Mon-27-Sep-2021
Wed |Wed |    517|29-09-2021|   -2|   0*|      5|No  |LQ* 22|   N/A   |--- Event:- Scotland Yard Anniversary ---- @ Wed-29-Sep-2021
Wed |Wed |    517|29-09-2021|   -2|   0*|      5|No  |LQ* 22|   N/A   |--- Event:- St Micheal ---- @ Wed-29-Sep-2021
Thu |Thu |    518|30-09-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- International Spelling Day ---- @ Thu-30-Sep-2021
Thu |Thu |    518|30-09-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- Jewish New Year ---- @ Thu-30-Sep-2021
Fri |Fri |    519|01-10-2021|   -2|   0*|      5|No  |LQ  23|   N/A   |--- -- 4th Quarter Of Year -- ---- @ Fri-01-Oct-2021
Fri |Fri |    519|01-10-2021|   -2|   0*|      5|No  |LQ  23|   N/A   |--- Event:- Start of Season Autumn Oct to Nov -- Amature Stuff ---- @ Fri-01-Oct-2021
Sun |Sun |    521|03-10-2021|   -2|   0*|      5|No  |LQ  25|   N/A   |--- Event:- Reunification Day in Germany ---- @ Sun-03-Oct-2021
Tue |Tue |    523|05-10-2021|   -2|   0*|      5|No  |LQ  27|   N/A   |--- Event:- World Teachers' Day ---- @ Tue-05-Oct-2021
Sat |Sat |    527|09-10-2021|   -2|   0*|      5|No  |.    2|   N/A   |--- Event:- Jewish day of Atonement ---- @ Sat-09-Oct-2021
Sat |Sat |    527|09-10-2021|   -2|   0*|      5|No  |.    2|   N/A   |--- Event:- John Lennon's birthday ---- @ Sat-09-Oct-2021
Sun |Sun |    528|10-10-2021|   -2|   0*|      5|No  |.    3|   N/A   |--- Event:- World mental Health Day ---- @ Sun-10-Oct-2021
Tue |Tue |    530|12-10-2021|   -2|   0*|      5|No  |.    5|   N/A   |--- Event:- Columbus day ---- @ Tue-12-Oct-2021
Wed |Wed |    531|13-10-2021|   -2|   0*|      5|No  |FQ*  6|   N/A   |--- Event:- St. Edward the confessor's day ---- @ Wed-13-Oct-2021
Sat |Sat |    534|16-10-2021|   -2|   0*|      5|No  |FQ   9|   N/A   |--- Event:- World Food Day ---- @ Sat-16-Oct-2021
Mon |Mon |    536|18-10-2021|   -2|   0*|      5|No  |FQ  11|   N/A   |--- Event:- St Luke ---- @ Mon-18-Oct-2021
Sat |Sat |    541|23-10-2021|   -2|   0*|      5|No  |O   16|   N/A   |--- Event:- 8th Sign Scorpio Oct23 Nov21 Water Sign Ruled by Pluto: The Scorpion ---- @ Sat-23-Oct-2021
Sun |Sun |    542|24-10-2021|   -2|   0*|      5|No  |O   17|   N/A   |--- Event:- United Nations Day ---- @ Sun-24-Oct-2021
Sun |Sun |    542|24-10-2021|   -2|   0*|      5|No  |O   17|   N/A   |--- Event:- United Nations Day ---- @ Sun-24-Oct-2021
Mon |Mon |    543|25-10-2021|   -2|   0*|      5|No  |O   18|   N/A   |--- Armistice Day Forerunner for Veterans Day ---- @ Mon-25-Oct-2021
Thu |Thu |    546|28-10-2021|   -2|   0*|      5|No  |LQ* 22|   N/A   |--- Event:- St Simon and St Jude ---- @ Thu-28-Oct-2021
Fri |Fri |    547|29-10-2021|   -2|   0*|      5|No  |LQ  22|   N/A   |--- Event:- Internet First Created - 1969 ---- @ Fri-29-Oct-2021
Sun |Sun |    549|31-10-2021|   -2|   0*|      5|No  |LQ  24|   N/A   |--- Event:- Clocks Rewind 1 Hours GMT - A Chunk Of Time DisAppears -- OverLapp ---- @ Sun-31-Oct-2021
Sun |Sun |    549|31-10-2021|   -2|   0*|      5|No  |LQ  24|   N/A   |--- Event:- Halloween ---- @ Sun-31-Oct-2021
Sun |Sun |    549|31-10-2021|   -2|   0*|      5|No  |LQ  24|   N/A   |--- Event:- Hallowwe'en ---- @ Sun-31-Oct-2021
Mon |Mon |    550|01-11-2021|   -2|   0*|      5|No  |LQ  25|   N/A   |--- Event:- All Saints' Day ---- @ Mon-01-Nov-2021
Fri |Fri |    554|05-11-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- Birthday Damo YEAR %%% ---- @ Fri-05-Nov-2021
Fri |Fri |    554|05-11-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- Bonfire Night ---- @ Fri-05-Nov-2021
Fri |Fri |    554|05-11-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- Guy Falwks Night ---- @ Fri-05-Nov-2021
Fri |Fri |    554|05-11-2021|   -2|   0*|      5|No  |.    0|   N/A   |--- Event:- Remember Remember 5th November Guy Fawkes FireWorks Night ---- @ Fri-05-Nov-2021
Sun |Sun |    556|07-11-2021|   -2|   0*|      5|No  |.    2|   N/A   |--- Event:- Marie Curie's birth 1867 ---- @ Sun-07-Nov-2021
Thu |Thu |    560|11-11-2021|   -2|   0*|      5|No  |. *  6|   N/A   |--- Event:- Remembrance Day ---- @ Thu-11-Nov-2021
Thu |Thu |    560|11-11-2021|   -2|   0*|      5|No  |. *  6|   N/A   |--- Rememberance Veterans Day 11th Day 11th Hour ---- @ Thu-11-Nov-2021
Sat |Sat |    562|13-11-2021|   -2|   0*|      5|No  |FQ   8|   N/A   |--- Event:- Birthday Debbie Macindeor Was French ---- @ Sat-13-Nov-2021
Sun |Sun |    563|14-11-2021|   -2|   0*|      5|No  |FQ   9|   N/A   |--- Rememberance Sunday Veterans Day ---- @ Sun-14-Nov-2021
Tue |Tue |    565|16-11-2021|   -2|   0*|      5|No  |FQ  11|   N/A   |--- Event:- International Day for Tolerance ---- @ Tue-16-Nov-2021
Wed |Wed |    566|17-11-2021|   -2|   0*|      5|No  |FQ  12|   N/A   |--- Event:- World Peace Day ---- @ Wed-17-Nov-2021
Fri |Fri |    568|19-11-2021|   -2|   0*|      5|No  |O * 14|   N/A   |--- # Lunar Eclipse -Partial(Umbral) 19-11-2021 08:58:00a GMT
Sat |Sat |    569|20-11-2021|   -2|   0*|      5|No  |O   15|   N/A   |--- Event:- Universal Childrens Day - UN ---- @ Sat-20-Nov-2021
Mon |Mon |    571|22-11-2021|   -2|   0*|      5|No  |O   17|   N/A   |--- Event:- 9th Sign Sagittarius Nov22 Dec21 Fire Sign Ruled by Jupiter: The Archer ---- @ Mon-22-Nov-2021
Mon |Mon |    571|22-11-2021|   -2|   0*|      5|No  |O   17|   N/A   |--- Event:- JF Kennedy assassinated 1963 ---- @ Mon-22-Nov-2021
Thu |Thu |    574|25-11-2021|   -2|   0*|      5|No  |O   20|   N/A   |--- US Thanksgiving Day - Fourth Thurs in Month Nov ---- @ Thu-25-Nov-2021
Fri |Fri |    575|26-11-2021|   -2|   0*|      5|No  |O   21|   N/A   |--- Buy Nothing Day in US - Day after Thanksgiving. ---- @ Fri-26-Nov-2021
Sun |Sun |    577|28-11-2021|   -2|   0*|      5|No  |LQ  23|   N/A   |--- Event:- First Sunday In Advent ---- @ Sun-28-Nov-2021
Tue |Tue |    579|30-11-2021|   -2|   0*|      5|No  |LQ  25|   N/A   |--- Event:- St Andrew's Day, Scotland ---- @ Tue-30-Nov-2021
Wed |Wed |    580|01-12-2021|   -2|   0*|      5|No  |LQ  26|   N/A   |--- Event:- Start of Season Winter Dec to Feb -- Amature Stuff ---- @ Wed-01-Dec-2021
Wed |Wed |    580|01-12-2021|   -2|   0*|      5|No  |LQ  26|   N/A   |--- Event:- Tolerance Week - 1st week of Dec. ---- @ Wed-01-Dec-2021
Wed |Wed |    580|01-12-2021|   -2|   0*|      5|No  |LQ  26|   N/A   |--- Event:- World Aids Day ---- @ Wed-01-Dec-2021
Sat |Sat |    583|04-12-2021|   -2|   0*|      5|No  |. *  0|   N/A   |--- # Solar Eclipse -Total 04-12-2021 07:43:00a GMT
Mon |Mon |    585|06-12-2021|   -2|   0*|      5|No  |.    1|   N/A   |--- Event:- Birthday Michele CORBET Openshaw ---- @ Mon-06-Dec-2021
Tue |Tue |    586|07-12-2021|   -2|   0*|      5|No  |.    2|   N/A   |--- Event:- PAUL NICKLEN BIRTHDAY FAMILY ---- @ Tue-07-Dec-2021
Tue |Tue |    586|07-12-2021|   -2|   0*|      5|No  |.    2|   N/A   |--- Event:- Pearl Harbour Day ---- @ Tue-07-Dec-2021
Fri |Fri |    589|10-12-2021|   -2|   0*|      5|No  |.    5|   N/A   |--- Event:- Human Rights Day ---- @ Fri-10-Dec-2021
Fri |Fri |    589|10-12-2021|   -2|   0*|      5|No  |.    5|   N/A   |--- Event:- Human Rights Day, a United Nations observance. ---- @ Fri-10-Dec-2021
Sun |Sun |    591|12-12-2021|   -2|   0*|      5|No  |FQ   7|   N/A   |--- Earliest Sunset Winter  04:53:28p
Tue |Tue |    600|21-12-2021|   -2|   0*|      5|No  |O   16|   N/A   |--- Event:- Winter Solstice (& June 21st) ---- @ Tue-21-Dec-2021
Tue |Tue |    600|21-12-2021|   -2|   0*|      5|No  |O   16|   N/A   |--- Shortest Day ---- @ Tue-21-Dec-2021
Tue |Tue |    600|21-12-2021|   -2|   0*|      5|No  |O   16|   N/A   |--- Winter Solstice ---- @ Tue-21-Dec-2021
Wed |Wed |    601|22-12-2021|   -2|   0*|      5|No  |O   17|   N/A   |--- Event:- 10th Sign Capricorn Dec22 Jan19 Earth Sign Ruled by Satun: The Goat ---- @ Wed-22-Dec-2021
Fri |Fri |    603|24-12-2021|   -2|   0*|      5|No  |O   19|   N/A   |--- Event:- Birthday Slick Willy Dee@gmail ---- @ Fri-24-Dec-2021
